aaas:['aaas' 'qualifying' 'mark']
ask:['ask' 'jeeves' 'bloglines']
assembly:['assembly' 'arts' 'welsh']
association:['association' 'candidate' 'conservative']
aston:['vantage' 'aston' 'car']
asylum:['asylum' 'roma' 'refugees']
athens:['athens' 'paula' 'medal']
atr:['atr' 'air' 'said']
attack:['attack' 'traffic' 'attacks']
attacks:['attacks' 'attack' 'net']
attorney:['attorney' 'general' 'answer']
auction:['auction' 'rosneft' 'baikal']
audio:['sonaptic' 'sound' 'audio']
aurora:['carnival' 'aurora' 'aaas']
austria:['austria' 'aaas' 'peer']
authors:['authors' 'russian' 'tax']
autolink:['feature' 'autolink' 'google']
aviator:['aviator' 'best' 'sideways']
award:['award' 'bening' 'academy']
awards:['awards' 'academy' 'drake']
awareness:['epa' 'recycling' 'electronics']
axa:['axa' 'aaas' 'peer']
b:['b' 'wimpey' 'r']
ba:['ba' 'fuel' 'year']
baa:['baa' 'expansion' 'runway']
bach:['bach' 'peer' 'peel']
back:['back' 'jamie' 'bridge']
bafin:['bafin' 'peer' 'peel']
bagle:['bagle' 'virus' 'mail']
baikal:['baikal' 'yukos' 'auction']
bailey:['bailey' 'murray' 'cup']
balco:['balco' 'aaas' 'peer']
ball:['ball' 'petrov' 'thompson']
ballet:['ballet' 'became' 'dancers']
ballot:['ballot' 'papers' 'council']
balls:['balls' 'brown' 'election']
ban:['ban' 'hunt' 'smoke']
band:['band' 'edwards' 'disappearance']
bandwidth:['bandwidth' 'aaas' 'peer']
bangladesh:['bangladesh' 'trade' 'countries']
bank:['bank' 'pinochet' 'standard']
banking:['banking' 'malaysia' 'islamic']
bankruptcy:['bankruptcy' 'court' 'yukos']
banks:['banks' 'cash' 'machines']
barclays:['barclays' 'absa' 'bn']
barkley:['yachvili' 'barkley' 'hodgson']
baros:['newcastle' 'baros' 'bowyer']
basic:['drive' 'burner' 'basic']
bat:['bat' 'tobacco' 'china']
bates:['bates' 'leeds' 'club']
bath:['bath' 'leicester' 'aaas']
battlefront:['battlefront' 'game' 'pension']
baume:['baume' 'mr' 'said']
bbc:['bbc' 'freeview' 'piero']
bcc:['bcc' 'aaas' 'peer']
became:['became' 'ballet' 'aaas']
becky:['becky' 'nair' 'sharp']
become:['become' 'warcraft' 'problem']
becoming:['terrorist' 'threat' 'freedom']
beer:['beer' 'aaas' 'peel']
behaviour:['behaviour' 'also' 'aaas']
belgian:['kuznetsova' 'belgian' 'said']
belgrave:['ac' 'essex' 'belgrave']
bell:['bell' 'mcdonald' 'schools']
bellamy:['bellamy' 'thompson' 'petrov']
bening:['bening' 'role' 'award']
benitez:['benitez' 'aaas' 'peel']
best:['best' 'favourite' 'aviator']
bets:['bets' 'said' 'aaas']
better:['terrorist' 'threat' 'freedom']
betting:['betting' 'aaas' 'peel']
bez:['bez' 'aaas' 'peel']
bid:['bid' 'lse' 'boerse']
big:['roundabout' 'original' 'screen']
bill:['bill' 'european' 'clarke']
billion:['billion' 'aaas' 'peel']
billy:['billy' 'aaas' 'peel']
binge:['binge' 'promotions' 'mcconnell']
bittorrent:['bittorrent' 'site' 'files']
bjorn:['bjorn' 'use' 'cameras']
black:['black' 'thing' 'joss']
blackpool:['blackpool' 'party' 'aaas']
blacks:['zealand' 'tourists' 'blacks']
blair:['blair' 'mr' 'chancellor']
blake:['blake' 'mr' 'aaas']
blinkx:['blinkx' 'web' 'ask']
blocking:['blocking' 'site' 'traffic']
blog:['blog' 'blogs' 'survey']
bloggers:['bloggers' 'hopkins' 'ruling']
bloglines:['bloglines' 'jeeves' 'ask']
blogs:['blogs' 'blog' 'survey']
blu:['blu' 'generation' 'dvds']
blue:['blue' 'virgin' 'gene']
blues:['dragons' 'ospreys' 'blues']
blunkett:['blunkett' 'secretary' 'mr']
bmw:['bmw' 'cars' 'mini']
bn:['bn' 'euros' 'kronor']
bnp:['bnp' 'swansea' 'said']
board:['board' 'ambani' 'anil']
boateng:['boateng' 'paul' 'mr']
bob:['bob' 'aaas' 'peel']
body:['body' 'technology' 'peace']
boeing:['boeing' 'lr' 'planes']
boerse:['boerse' 'deutsche' 'lse']
bofra:['bofra' 'virus' 'mail']
bollywood:['bollywood' 'buhecha' 'kisna']
bolton:['dyer' 'bolton' 'first']
bombardier:['bombardier' 'aaas' 'peer']
bond:['bond' 'game' 'film']
book:['book' 'potter' 'harry']
books:['books' 'google' 'said']
borders:['borders' 'line' 'said']
borussia:['dortmund' 'borussia' 'club']
bot:['nets' 'bot' 'used']
botin:['santander' 'botin' 'mr']
bowl:['super' 'bowl' 'year']
bowles:['parker' 'bowles' 'mrs']
bowyer:['newcastle' 'baros' 'bowyer']
box:['box' 'office' 'year']
boxes:['boxes' 'could' 'sky']
bp:['bp' 'profits' 'oil']
brain:['brain' 'control' 'people']
brando:['brando' 'actor' 'role']
brands:['brands' 'networks' 'peer']
brazil:['corinthians' 'brazil' 'tevez']
break:['break' 'winter' 'hodgson']
bridge:['bridge' 'left' 'back']
britain:['britain' 'russia' 'race']
british:['british' 'makarov' 'bbc']
broadband:['broadband' 'bt' 'connection']
broadcasters:['broadcasters' 'holme' 'lord']
broadcasting:['broadcasting' 'mobiles' 'services']
brokers:['brokers' 'fsa' 'peel']
brown:['brown' 'mr' 'gordon']
browser:['browser' 'firefox' 'version']
bruvik:['bruvik' 'industry' 'music']
bsl:['bsl' 'deaf' 'relay']
bt:['bt' 'broadband' 'ofcom']
budget:['budget' 'deficit' 'federal']
buhecha:['buhecha' 'bollywood' 'aaas']
burner:['drive' 'burner' 'basic']
burnley:['rovers' 'burnley' 'last']
bush:['bush' 'president' 'proposals']
business:['business' 'ict' 'aids']
businesses:['staff' 'increases' 'increase']
busted:['fightstar' 'simpson' 'busted']
butler:['butler' 'cabinet' 'lord']
buy:['homes' 'share' 'buy']
buyers:['buyers' 'first' 'time']
buying:['buying' 'shoppers' 'shopping']
cab:['cab' 'gadgets' 'left']
cabinet:['butler' 'cabinet' 'lord']
cabir:['cabir' 'phone' 'aaas']
cable:['cable' 'telcos' 'iptv']
cadbury:['cadbury' 'sales' 'aaas']
cafes:['cafes' 'chinese' 'net']
cairn:['cairn' 'company' 'said']
california:['california' 'gun' 'mart']
call:['call' 'centres' 'customers']
callaghan:['callaghan' 'lord' 'labour']
calls:['calls' 'marketing' 'tps']
camera:['camera' 'images' 'cameras']
cameras:['cameras' 'images' 'camera']
campaign:['campaign' 'posters' 'mallon']
campbell:['campbell' 'tbwa' 'bbc']
campese:['campese' 'england' 'aaas']
camus:['eads' 'camus' 'mr']
canada:['gw' 'pharma' 'canada']
candidate:['association' 'candidate' 'conservative']
cantona:['cantona' 'aaas' 'peel']
captain:['captain' 'england' 'aaas']
car:['car' 'vantage' 'aston']
card:['card' 'lg' 'firm']
cardiff:['cardiff' 'neath' 'swansea']
cardinal:['peace' 'cardinal' 'war']
cards:['cards' 'id' 'seafarers']
care:['care' 'people' 'government']
career:['career' 'dallaglio' 'cup']
carers:['carers' 'foster' 'peer']
carlsberg:['heineken' 'carlsberg' 'profits']
carnival:['carnival' 'aurora' 'aaas']
carpenter:['carpenter' 'hill' 'standards']
carry:['carry' 'aaas' 'peel']
cars:['cars' 'mini' 'bmw']
cash:['cash' 'banks' 'machines']
casinos:['casinos' 'gambling' 'said']
castaignede:['castaignede' 'france' 'peer']
casual:['casual' 'titles' 'gamers']
cbi:['cbi' 'aaas' 'peer']
cebit:['cebit' 'show' 'said']
cell:['cell' 'processor' 'chip']
celtic:['celtic' 'juninho' 'douglas']
cement:['cement' 'holcim' 'aaas']
cent:['cent' 'game' 'said']
centre:['centre' 'centres' 'call']
centres:['centres' 'call' 'customers']
ceplak:['ceplak' 'aaas' 'peer']
chamber:['chamber' 'men' 'said']
champion:['seconds' 'champion' 'record']
champions:['champions' 'season' 'league']
championships:['championships' 'jump' 'title']
chance:['dunne' 'chance' 'city']
chancellor:['chancellor' 'inquiry' 'woolf']
charles:['charles' 'parker' 'bowles']
charlton:['hreidarsson' 'charlton' 'kiely']
chart:['chart' 'download' 'ross']
chartered:['kfb' 'chartered' 'korea']
cheese:['cheese' 'feta' 'greece']
chelsea:['chelsea' 'adriano' 'mutu']
chester:['chester' 'aaas' 'penalty']
chidambaram:['chidambaram' 'rupees' 'spending']
chief:['chief' 'departure' 'smith']
child:['child' 'return' 'gifts']
children:['children' 'child' 'return']
china:['china' 'banks' 'bat']
chinese:['chinese' 'cafes' 'makower']
chip:['chip' 'cell' 'pin']
choice:['choice' 'mps' 'get']
christmas:['christmas' 'centre' 'sales']
cinema:['cinema' 'cinemas' 'prints']
cinemas:['cinema' 'cinemas' 'prints']
cities:['urban' 'term' 'thing']
city:['dunne' 'chance' 'city']
civil:['civil' 'strike' 'jobs']
clark:['clark' 'aaas' 'peer']
clarke:['clarke' 'powers' 'rights']
clarkson:['spector' 'action' 'clarkson']
classroom:['classroom' 'learning' 'games']
claxton:['claxton' 'aaas' 'peer']
clint:['sideways' 'scorsese' 'martin']
closures:['closures' 'palestinian' 'aaas']
club:['club' 'anelka' 'nicolas']
clubs:['jamieson' 'clubs' 'ms']
cm:['cm' 'manager' 'like']
coaches:['coaches' 'aaas' 'peer']
coal:['coal' 'said' 'peer']
coalition:['coalition' 'colleagues' 'thorpe']
cocoa:['cocoa' 'penalty' 'peer']
code:['code' 'embargo' 'straw']
colleagues:['coalition' 'colleagues' 'thorpe']
collins:['collins' 'usada' 'aaas']
columbia:['columbia' 'funds' 'sec']
com:['millan' 'rap' 'com']
come:['voted' 'come' 'done']
comedy:['comedy' 'night' 'itv']
commission:['commission' 'vodafone' 'mobile']
commissioner:['commissioner' 'marketing' 'calls']
committee:['committee' 'shortages' 'social']
commodore:['commodore' 'aaas' 'penalty']
communities:['communities' 'online' 'could']
community:['likely' 'community' 'people']
companies:['companies' 'reports' 'authors']
company:['company' 'laura' 'ashley']
compensation:['compensation' 'investors' 'fsa']
computer:['computer' 'data' 'tremor']
computing:['computing' 'sun' 'grid']
conference:['create' 'conference' 'artists']
confess:['prisoners' 'confess' 'arms']
connection:['connection' 'access' 'broadband']
connor:['connor' 'aaas' 'penalty']
connors:['connors' 'tennis' 'aaas']
conservative:['association' 'candidate' 'conservative']
constitution:['constitution' 'question' 'referendum']
construction:['construction' 'investment' 'foreign']
consumer:['consumer' 'show' 'epa']
consumers:['consumers' 'tags' 'rfid']
conte:['conte' 'jones' 'peer']
content:['content' 'regulation' 'systems']
contepomi:['contepomi' 'gara' 'minutes']
conti:['conti' 'director' 'orchestra']
contracts:['contracts' 'druyun' 'boeing']
control:['control' 'brain' 'music']
cook:['dance' 'cook' 'music']
copies:['steam' 'valve' 'accounts']
copper:['copper' 'aaas' 'peer']
corbett:['corbett' 'said' 'aaas']
corinthians:['corinthians' 'brazil' 'tevez']
corp:['corp' 'news' 'fox']
cosby:['cosby' 'said' 'aaas']
cost:['cost' 'burner' 'drive']
could:['could' 'domain' 'boxes']
council:['council' 'ballot' 'say']
councils:['councils' 'travellers' 'sites']
countries:['countries' 'developing' 'bangladesh']
country:['country' 'turkey' 'eu']
court:['court' 'access' 'bankruptcy']
courts:['courts' 'lord' 'aaas']
crawford:['grady' 'crawford' 'minutes']
create:['create' 'conference' 'artists']
creative:['creative' 'art' 'technology']
creditors:['creditors' 'parmalat' 'club']
criminals:['criminals' 'malicious' 'viruses']
critical:['critical' 'security' 'aaas']
crowd:['another' 'serve' 'tiebreak']
crude:['crude' 'oil' 'us']
csa:['agency' 'csa' 'system']
csi:['csi' 'episode' 'science']
csos:['csos' 'powers' 'police']
cuba:['cuba' 'tax' 'economic']
cup:['cup' 'bailey' 'murray']
curry:['curry' 'podcasting' 'podcast']
customers:['customers' 'speeds' 'centres']
cuts:['cuts' 'federal' 'tory']
cyber:['yoran' 'cyber' 'division']
cymru:['plaid' 'cymru' 'services']
cyprus:['switzerland' 'cyprus' 'faroe']
daimlerchrysler:['mercedes' 'daimlerchrysler' 'euros']
dallaglio:['career' 'dallaglio' 'cup']
dance:['dance' 'cook' 'music']
dancers:['dancers' 'ballet' 'children']
darin:['darin' 'spacey' 'aaas']
data:['data' 'system' 'hard']
dating:['dating' 'video' 'services']
davenport:['davenport' 'williams' 'aaas']
davis:['davis' 'henman' 'cup']
davos:['davos' 'leaders' 'president']
day:['day' 'sigarchi' 'iranian']
de:['marigny' 'de' 'paterson']
deaf:['bsl' 'deaf' 'relay']
deal:['deal' 'argentina' 'federated']
dean:['dean' 'dvds' 'definition']
debt:['debt' 'argentina' 'paris']
dec:['dec' 'tsunami' 'site']
december:['december' 'unemployment' 'store']
decision:['mutu' 'decision' 'drugs']
decisions:['decisions' 'bill' 'would']
def:['z' 'jam' 'jay']
defence:['defence' 'projects' 'peer']
deficit:['deficit' 'budget' 'bn']
definition:['definition' 'high' 'dvds']
defra:['defra' 'said' 'aaas']
deloitte:['deloitte' 'economy' 'growth']
delta:['delta' 'simonetti' 'ms']
demand:['telewest' 'ntl' 'pvr']
democracy:['terrorist' 'threat' 'freedom']
dems:['dems' 'lib' 'tax']
departure:['chief' 'departure' 'smith']
depp:['depp' 'played' 'role']
describe:['urban' 'term' 'thing']
design:['design' 'video' 'radio']
desktop:['desktop' 'search' 'many']
detainees:['detainees' 'four' 'rights']
deutsche:['deutsche' 'boerse' 'lse']
developing:['developing' 'countries' 'penalty']
devices:['devices' 'archos' 'portable']
devine:['devine' 'ronaldo' 'ball']
diageo:['diageo' 'aaas' 'peer']
dicaprio:['dicaprio' 'aaas' 'peer']
digital:['digital' 'access' 'hp']
directive:['directive' 'parliament' 'patent']
director:['director' 'conti' 'orchestra']
directors:['directors' 'disney' 'aaas']
disappearance:['disappearance' 'edwards' 'band']
disney:['disney' 'directors' 'aaas']
division:['division' 'cyber' 'yoran']
document:['documents' 'document' 'firms']
documentary:['documentary' 'films' 'film']
documents:['documents' 'document' 'firms']
dod:['dod' 'internet' 'software']
dogs:['dogs' 'hunting' 'mr']
dollar:['dollar' 'reserves' 'us']
domain:['domain' 'domains' 'icann']
domains:['domains' 'icann' 'names']
donations:['donations' 'parties' 'political']
done:['voted' 'come' 'done']
donofrio:['value' 'donofrio' 'like']
dortmund:['dortmund' 'borussia' 'club']
double:['double' 'holmes' 'olympic']
doubles:['doubles' 'aaas' 'penalty']
douglas:['douglas' 'waterreus' 'hartson']
download:['download' 'chart' 'first']
dr:['dr' 'greenspan' 'nielsen']
dragons:['dragons' 'ospreys' 'blues']
drake:['drake' 'vera' 'best']
drama:['drama' 'bbc' 'peer']
drink:['drink' 'drivers' 'limit']
drinking:['drinking' 'mcconnell' 'drunk']
drive:['drive' 'burner' 'basic']
drivers:['drink' 'drivers' 'limit']
drogba:['drogba' 'minutes' 'liverpool']
drug:['drug' 'merck' 'vioxx']
drugs:['drugs' 'mutu' 'decision']
drunk:['drunk' 'mcconnell' 'young']
druyun:['contracts' 'druyun' 'boeing']
ds:['ds' 'nintendo' 'launch']
dtt:['dtt' 'pay' 'free']
duchy:['duchy' 'prince' 'aaas']
duff:['duff' 'james' 'chelsea']
dunne:['dunne' 'chance' 'city']
duran:['duran' 'said' 'aaas']
dutch:['dutch' 'football' 'aaas']
duty:['duty' 'fuel' 'stamp']
dvd:['dvd' 'format' 'ripguard']
dvds:['dvds' 'definition' 'dean']
dyer:['dyer' 'bolton' 'first']
e:['e' 'fbi' 'spam']
ea:['ea' 'espn' 'sports']
eads:['eads' 'camus' 'mr']
east:['east' 'mallon' 'north']
eastwood:['sideways' 'scorsese' 'martin']
ebay:['ebay' 'buying' 'shoppers']
ebbers:['ebbers' 'worldcom' 'sullivan']
ec:['ec' 'germany' 'deficit']
economic:['economic' 'growth' 'cuba']
economy:['economy' 'deloitte' 'cuba']
edinburgh:['edinburgh' 'glasgow' 'rugby']
edu:['edu' 'aaas' 'peel']
education:['education' 'school' 'areas']
edward:['coalition' 'colleagues' 'thorpe']
edwards:['disappearance' 'edwards' 'band']
egypt:['egypt' 'aaas' 'peel']
election:['election' 'budget' 'kennedy']
elections:['ink' 'elections' 'use']
electoral:['registration' 'electoral' 'election']
electronics:['epa' 'recycling' 'electronics']
elgindy:['elgindy' 'mr' 'aaas']
elvis:['elvis' 'one' 'number']
embargo:['embargo' 'code' 'straw']
emi:['emi' 'music' 'sales']
employer:['staff' 'increases' 'increase']
employers:['employers' 'schemes' 'peer']
energy:['energy' 'trainor' 'epa']
engine:['engine' 'search' 'microsoft']
engines:['engines' 'fiat' 'results']
england:['england' 'captain' 'campese']
english:['english' 'spain' 'spanish']
enron:['enron' 'aaas' 'peer']
epa:['epa' 'recycling' 'electronics']
episode:['episode' 'csi' 'aaas']
espn:['espn' 'ea' 'sports']
essex:['ac' 'essex' 'belgrave']
ethnic:['minority' 'ethnic' 'peer']
eu:['eu' 'turkey' 'rebate']
euro:['euro' 'said' 'aaas']
euronext:['euronext' 'exchange' 'lse']
europe:['europe' 'germany' 'says']
european:['european' 'bill' 'mark']
euros:['euros' 'daimlerchrysler' 'mercedes']
evans:['evans' 'said' 'aaas']
even:['voted' 'come' 'done']
everquest:['become' 'warcraft' 'problem']
everton:['everton' 'real' 'martyn']
evidence:['evidence' 'tyranny' 'little']
exchange:['exchange' 'euronext' 'lse']
executive:['executive' 'ministers' 'ferguson']
exeem:['files' 'suprnova' 'sloncek']
expansion:['expansion' 'baa' 'said']
expectancy:['expectancy' 'years' 'life']
exposure:['exposure' 'insurance' 'said']
factory:['factory' 'wilson' 'cars']
fair:['staff' 'increases' 'increase']
families:['families' 'people' 'blair']
fannie:['fannie' 'mae' 'financial']
farmers:['farmers' 'project' 'information']
faroe:['switzerland' 'cyprus' 'faroe']
faster:['surface' 'faster' 'said']
favourite:['favourite' 'best' 'aaas']
fbi:['fbi' 'e' 'peer']
fear:['terrorist' 'threat' 'freedom']
feature:['feature' 'autolink' 'google']
fed:['fed' 'rise' 'quarter']
federal:['federal' 'spending' 'cuts']
federated:['federated' 'may' 'deal']
federer:['wimbledon' 'federer' 'open']
fees:['fees' 'students' 'lib']
fenice:['la' 'fenice' 'viotti']
ferguson:['ferguson' 'ministers' 'saturday']
ferrari:['maserati' 'ferrari' 'fiat']
ferrero:['ferrero' 'aaas' 'peel']
festival:['festival' 'prize' 'film']
feta:['cheese' 'feta' 'greece']
fi:['wi' 'fi' 'found']
fiat:['fiat' 'gm' 'engines']
fightstar:['fightstar' 'simpson' 'busted']
figures:['figures' 'retail' 'retailers']
file:['file' 'sharing' 'suprnova']
files:['files' 'suprnova' 'sloncek']
film:['film' 'ray' 'scholl']
films:['films' 'documentary' 'cinema']
final:['final' 'federer' 'wimbledon']
finals:['finals' 'last' 'round']
finance:['finance' 'poorest' 'countries']
financial:['mae' 'financial' 'fannie']
fine:['aragones' 'fine' 'said']
firefox:['firefox' 'browser' 'mozilla']
firm:['firm' 'lg' 'card']
firms:['firms' 'listings' 'act']
first:['first' 'buyers' 'vodafone']
five:['five' 'aaas' 'peel']
fixed:['fixed' 'mobile' 'phone']
fletcher:['fletcher' 'said' 'aaas']
flight:['flight' 'airways' 'association']
flights:['flights' 'passengers' 'compensation']
flynn:['flynn' 'rules' 'services']
food:['food' 'aaas' 'peel']
foods:['foods' 'ahold' 'aaas']
football:['football' 'dutch' 'cm']
ford:['fourth' 'ford' 'unit']
foreign:['foreign' 'investment' 'construction']
forensic:['forensic' 'science' 'csi']
format:['format' 'dvd' 'peel']
forsyth:['terrorist' 'threat' 'freedom']
foster:['foster' 'carers' 'offer']
fosters:['fosters' 'southcorp' 'aaas']
found:['found' 'networks' 'wi']
four:['four' 'kings' 'painkiller']
fourth:['fourth' 'ford' 'unit']
fox:['fox' 'corp' 'news']
foxx:['sideways' 'scorsese' 'martin']
france:['france' 'castaignede' 'telecom']
fraud:['fraud' 'member' 'pin']
frederick:['terrorist' 'threat' 'freedom']
free:['free' 'kick' 'dtt']
freedom:['terrorist' 'threat' 'freedom']
freeview:['freeview' 'bbc' 'parliament']
french:['french' 'wine' 'film']
front:['become' 'warcraft' 'problem']
fsa:['fsa' 'brokers' 'investors']
fuel:['fuel' 'duty' 'ba']
fuller:['fuller' 'ashdown' 'henry']
fund:['gifts' 'account' 'interest']
funds:['columbia' 'funds' 'sec']
g:['g' 'nations' 'siemens']
gadget:['gadget' 'magazine' 'th']
gadgets:['gadgets' 'cab' 'ipod']
gallery:['gallery' 'aaas' 'peel']
galloway:['galloway' 'mr' 'said']
gambling:['casinos' 'gambling' 'said']
game:['game' 'time' 'cent']
gameboyzz:['gameboyzz' 'orchestra' 'project']
gamers:['gamers' 'titles' 'casual']
games:['games' 'political' 'video']
gaming:['gaming' 'us' 'wembley']
gant:['sideways' 'scorsese' 'martin']
gara:['gara' 'contepomi' 'penalty']
gas:['gas' 'turkmenistan' 'price']
gates:['gates' 'technologies' 'aaas']
gay:['reggae' 'gay' 'industry']
gazprom:['gazprom' 'yugansk' 'rosneft']
ge:['ge' 'aaas' 'peel']
gene:['gene' 'l' 'machine']
general:['general' 'answer' 'attorney']
generation:['generation' 'blu' 'dvds']
germany:['germany' 'europe' 'ec']
gerrard:['gerrard' 'parry' 'keep']
gervais:['gervais' 'aaas' 'peel']
get:['get' 'tournament' 'choice']
ghosn:['ghosn' 'nissan' 'mr']
gibbons:['nhs' 'lists' 'gibbons']
gifts:['gifts' 'account' 'interest']
giggs:['toshack' 'giggs' 'united']
glasgow:['glasgow' 'edinburgh' 'rugby']
glazer:['glazer' 'proposal' 'club']
global:['global' 'markets' 'week']
gm:['gm' 'fiat' 'saab']
goal:['goal' 'referee' 'line']
godzilla:['godzilla' 'aaas' 'peel']
going:['going' 'jeremiah' 'japanese']
gold:['gold' 'imf' 'said']
golden:['golden' 'named' 'comedy']
goldsmith:['goldsmith' 'advice' 'march']
good:['good' 'houllier' 'liverpool']
goodman:['goodman' 'handsets' 'phones']
google:['google' 'books' 'autolink']
gordon:['gordon' 'brown' 'labour']
gorges:['three' 'gorges' 'aaas']
government:['government' 'workers' 'local']
grady:['grady' 'crawford' 'minutes']
grammy:['grammy' 'album' 'song']
great:['great' 'scarman' 'lord']
greece:['cheese' 'feta' 'greece']
greek:['greek' 'aaas' 'peel']
greene:['greene' 'aaas' 'peel']
greenspan:['greenspan' 'dr' 'smith']
greer:['greer' 'housemates' 'said']
grewcock:['grewcock' 'ruddock' 'said']
grid:['grid' 'sun' 'computing']
group:['group' 'seychelles' 'winners']
groups:['respond' 'groups' 'maps']
growth:['growth' 'oecd' 'deloitte']
guantanamo:['guantanamo' 'mubanga' 'told']
gudjohnsen:['gudjohnsen' 'henry' 'arsenal']
guilty:['guilty' 'sentences' 'murderers']
gun:['california' 'gun' 'mart']
gw:['gw' 'pharma' 'canada']
hadi:['hadi' 'iraqi' 'many']
hague:['hague' 'mr' 'aaas']
hailey:['hailey' 'aaas' 'peace']
half:['half' 'welsh' 'bolton']
halifax:['halifax' 'price' 'prices']
halliwell:['varga' 'halliwell' 'thompson']
halo:['halo' 'time' 'video']
handsets:['goodman' 'handsets' 'phones']
hard:['hard' 'data' 'cost']
hardie:['hardie' 'aaas' 'peace']
hardware:['trusted' 'hardware' 'computing']
harriers:['ac' 'essex' 'belgrave']
harry:['harry' 'potter' 'book']
hartson:['douglas' 'waterreus' 'hartson']
hd:['hd' 'hdtv' 'going']
hdtv:['hdtv' 'definition' 'hd']
head:['head' 'white' 'england']
healey:['healey' 'aaas' 'peace']
health:['health' 'tb' 'safety']
hearts:['hearts' 'final' 'game']
heathrow:['heathrow' 'runway' 'baa']
heineken:['heineken' 'carlsberg' 'profits']
heinze:['heinze' 'peel' 'peace']
hendrix:['hendrix' 'said' 'aaas']
henman:['henman' 'rusedski' 'cup']
henry:['henry' 'gudjohnsen' 'ashdown']
henson:['henson' 'williams' 'try']
hereford:['powys' 'hospital' 'hereford']
hewitt:['hewitt' 'set' 'roddick']
high:['high' 'definition' 'dvds']
higher:['higher' 'areas' 'university']
hilary:['sideways' 'scorsese' 'martin']
hill:['hill' 'carpenter' 'aaas']
hip:['hip' 'hop' 'millan']
hitachi:['robots' 'hitachi' 'robot']
hiv:['hiv' 'aids' 'vaccine']
hoddle:['wolves' 'hoddle' 'aaas']
hodgson:['hodgson' 'winter' 'break']
hogan:['writers' 'hogan' 'viruses']
holcim:['cement' 'holcim' 'aaas']
hold:['another' 'serve' 'tiebreak']
holds:['another' 'serve' 'tiebreak']
holme:['broadcasters' 'holme' 'lord']
holmes:['holmes' 'double' 'olympic']
home:['home' 'street' 'printers']
homes:['homes' 'share' 'buy']
hop:['hip' 'hop' 'millan']
hopkins:['hopkins' 'bloggers' 'blog']
hospital:['powys' 'hospital' 'hereford']
host:['host' 'japan' 'rugby']
hotspots:['hotspots' 'wireless' 'wi']
houllier:['houllier' 'good' 'liverpool']
